reference_path	swift_target	status	notes
.reference/.gitignore	root	config	preserve ignore behavior in new .gitignore
.reference/CLAUDE.md	docs	reference-only	preserved repo guidance
.reference/README.md	README.md	rewrite	replace with Swift rewrite README while preserving reference README
.reference/biome.json	.swift-format	rewrite	replace Biome formatting with Swift formatting
.reference/build.ts	Package.swift	rewrite	replace Bun build with SwiftPM build and release scripts
.reference/bun.lock	Package.resolved	rewrite	replace Bun lockfile with SwiftPM resolution
.reference/docs/BUILD-LOG.md	docs/reference/	reference-only	reference documentation
.reference/package.json	Package.swift	rewrite	replace Bun package metadata with SwiftPM metadata
.reference/scripts/generate-sdk-types.ts	docs/reference/	reference-only	TypeScript build script, replaced by SwiftPM
.reference/shims/bun-bundle.d.ts	Sources/SwiftCodeCore/FeatureFlags.swift	rewrite	port feature gate type surface exactly
.reference/shims/bun-bundle.ts	Sources/SwiftCodeCore/FeatureFlags.swift	rewrite	port feature gate behavior exactly
.reference/shims/globals.d.ts	Sources/SwiftCodeCore/globals.swift	rewrite	port shim to Swift
.reference/src/QueryEngine.ts	Sources/SwiftCodeAgent/QueryEngine.swift	rewrite	port headless query engine
.reference/src/Task.ts	Sources/SwiftCodeAgent/Task.swift	rewrite	port Task type
.reference/src/Tool.ts	Sources/SwiftCodeCore/ToolContracts.swift	rewrite	port tool contract types
.reference/src/assistant/AssistantSessionChooser.tsx	Sources/SwiftCodeStubs/AssistantSessionChooser.swift	stub	documented stub — ant-only or feature-gated
.reference/src/assistant/sessionHistory.ts	Sources/SwiftCodeStubs/sessionHistory.swift	stub	assistant install wizard — not in leak
.reference/src/bootstrap/state.ts	Sources/SwiftCodeCLI/state.swift	rewrite	port bootstrap state
.reference/src/bridge/bridgeApi.ts	Sources/SwiftCodeRemote/bridgeApi.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgeConfig.ts	Sources/SwiftCodeRemote/bridgeConfig.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgeDebug.ts	Sources/SwiftCodeRemote/bridgeDebug.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgeEnabled.ts	Sources/SwiftCodeRemote/bridgeEnabled.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgeMain.ts	Sources/SwiftCodeRemote/bridgeMain.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgeMessaging.ts	Sources/SwiftCodeRemote/bridgeMessaging.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgePermissionCallbacks.ts	Sources/SwiftCodeRemote/bridgePermissionCallbacks.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgePointer.ts	Sources/SwiftCodeRemote/bridgePointer.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgeStatusUtil.ts	Sources/SwiftCodeRemote/bridgeStatusUtil.swift	rewrite	port bridge/remote communication
.reference/src/bridge/bridgeUI.ts	Sources/SwiftCodeRemote/bridgeUI.swift	rewrite	port bridge/remote communication
.reference/src/bridge/capacityWake.ts	Sources/SwiftCodeRemote/capacityWake.swift	rewrite	port bridge/remote communication
.reference/src/bridge/codeSessionApi.ts	Sources/SwiftCodeRemote/codeSessionApi.swift	rewrite	port bridge/remote communication
.reference/src/bridge/createSession.ts	Sources/SwiftCodeRemote/createSession.swift	rewrite	port bridge/remote communication
.reference/src/bridge/debugUtils.ts	Sources/SwiftCodeRemote/debugUtils.swift	rewrite	port bridge/remote communication
.reference/src/bridge/envLessBridgeConfig.ts	Sources/SwiftCodeRemote/envLessBridgeConfig.swift	rewrite	port bridge/remote communication
.reference/src/bridge/flushGate.ts	Sources/SwiftCodeRemote/flushGate.swift	rewrite	port bridge/remote communication
.reference/src/bridge/inboundAttachments.ts	Sources/SwiftCodeRemote/inboundAttachments.swift	rewrite	port bridge/remote communication
.reference/src/bridge/inboundMessages.ts	Sources/SwiftCodeRemote/inboundMessages.swift	rewrite	port bridge/remote communication
.reference/src/bridge/initReplBridge.ts	Sources/SwiftCodeRemote/initReplBridge.swift	rewrite	port bridge/remote communication
.reference/src/bridge/jwtUtils.ts	Sources/SwiftCodeRemote/jwtUtils.swift	rewrite	port bridge/remote communication
